"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2017-05-05","93.9","2.1127","5.5033","Miguel Sano",593934,593958,"strikeout","called_strike",,,,,12,"Miguel Sano called out on strikes.  ","R","R","L","MIN","BOS","S",2,"null",1,2,2017,"0.7921","1.1439","0.1056","3.9294","null","null","null",1,3,"Bot","null","null",,,543877,,"170506_010922","-6.8494","-136.3664","-0.8567","11.1888","27.5858","-18.0605","3.6600","1.7400","null","null","null","93.4480","2134","5.9430",490530,593958,543877,519048,456030,592710,593428,643217,598265,605141,"54.5543","null","null","0.00",1,0,0,"null",25,"4","4-Seam Fastball",2,1,2,1,1,2,2,1,"Standard","Standard"
"FF","2017-06-03","94.8","-2.7603","6.2053","Aaron Judge",592450,276351,"strikeout","called_strike",,,,,2,"Aaron Judge called out on strikes.  ","R","R","R","TOR","NYY","S",2,"null",1,2,2017,"-1.3800","1.1882","0.0291","3.7983","null","null","null",1,8,"Top","null","null",,,571912,,"170603_193615","10.3593","-137.5850","-3.3218","-19.7400","26.2328","-16.4258","3.9556","1.9935","null","null","null","95.3580","2415","6.4410",490936,276351,571912,475253,581527,518626,453064,485567,607680,430832,"54.0612","null","null","0.00",1,0,0,"null",58,"4","4-Seam Fastball",0,4,4,0,4,0,4,0,"Infield shift","Standard"
"SI","2017-04-18","90.7","1.4162","5.6033","Eduardo Nunez",456488,518397,"strikeout","called_strike",,,,,11,"Eduardo Nunez called out on strikes.  ","R","R","L","KC","SF","S",2,"null",1,2,2017,"0.6947","0.2093","-0.1920","3.7320","null","null","null",1,11,"Top","null","null",,,521692,,"170419_032810","-5.3818","-131.8487","0.7035","8.9577","23.4714","-30.0987","3.5837","1.8316","null","null","null","90.2500","2153","5.6410",490307,518397,521692,543333,609275,596144,444876,460086,456715,593160,"54.7992","null","null","0.00",1,0,0,"null",82,"4","Sinker",1,1,1,1,1,1,1,1,"Standard","Standard"
"FF","2017-06-22","96.8","-2.4988","6.3244","Stephen Piscotty",572039,472610,"strikeout","called_strike",,,,,11,"Stephen Piscotty called out on strikes.  ","R","R","R","PHI","STL","S",2,"null",3,2,2017,"-0.5666","0.6858","-0.4889","3.7118","null","null","null",0,9,"Top","null","null",,,519237,,"null","6.7221","-140.7718","-3.0813","-9.0649","28.4826","-22.3983","3.4794","1.7541","null","null","null","98.0180","2006","6.7590",491196,472610,519237,595426,433217,596748,520471,537953,546318,573088,"53.7403","null","null","0.00",1,0,0,"null",63,"6","4-Seam Fastball",5,1,1,5,1,5,1,5,"Standard","Standard"
"SI","2017-07-09","89.9","-2.9934","5.9063","Sean Newcomb",656794,605452,"strikeout","called_strike",,,,,2,"Sean Newcomb called out on strikes.  ","R","L","R","WSH","ATL","S",2,"null",2,2,2017,"-0.8323","1.1054","0.2060","3.7014","null","null","null",1,3,"Top","null","null",,,446308,,"null","9.7112","-130.6244","-1.9152","-11.4014","22.9382","-19.1318","3.8019","1.5515","null","null","null","90.7280","1893","6.4960",491419,605452,446308,475582,502517,543685,594694,502317,571718,547180,"54.0011","null","null","0.00",1,0,0,"null",20,"5","Sinker",3,0,0,3,0,3,0,3,"Standard","Standard"
"SL","2017-05-27","86.9","-1.1392","6.5678","Trevor Plouffe",461858,476454,"strikeout","called_strike",,,,,11,"Trevor Plouffe called out on strikes.  ","R","R","R","NYY","OAK","S",2,"null",1,2,2017,"0.7958","-0.7505","-0.3820","3.6970",501981,592387,"null",1,8,"Top","null","null",,,596142,,"170527_200235","0.2150","-126.2208","0.8765","8.2731","28.5906","-40.4815","3.1500","1.4300","null","null","null","85.8390","2958","5.9570",490838,476454,596142,474892,516770,591720,544369,458731,543305,592450,"54.5407","null","null","0.00",1,0,0,"null",62,"4","Slider",3,2,2,3,2,3,2,3,"Standard","Standard"
"SL","2017-07-07","85.3","-0.7343","6.0831","Jay Bruce",457803,572096,"strikeout","called_strike",,,,,12,"Jay Bruce called out on strikes.  ","R","L","R","STL","NYM","S",2,"null",2,2,2017,"0.2688","0.0114","0.2744","3.6956","null","null","null",1,9,"Top","null","null",,,425877,,"null","1.8243","-123.9817","0.6189","2.3611","23.7389","-32.4198","3.2536","1.6898","null","null","null","84.3090","2183","5.6030",491400,572096,425877,572228,572761,576397,657557,545341,451594,572039,"54.8959","null","null","0.00",1,0,0,"null",72,"5","Slider",5,6,6,5,6,5,6,5,"Standard","Standard"
"FF","2017-04-07","90.6","2.3297","5.7676","Trevor Story",596115,547943,"strikeout","called_strike",,,,,2,"Trevor Story called out on strikes.  ","R","R","L","COL","LAD","S",2,"null",2,2,2017,"0.6777","1.1985","-0.0557","3.6852","null","null","null",0,4,"Bot","null","null",,,518735,,"170407_212538","-7.4054","-131.6938","-1.8871","9.3534","24.4823","-17.9009","3.7672","2.0247","null","null","null","91.1770","2165","6.4130",490154,547943,518735,475100,523253,457759,571771,429711,592626,624577,"54.0868","null","null","0.00",1,0,0,"null",32,"6","4-Seam Fastball",1,1,1,1,1,1,1,1,"Standard","Standard"
"SI","2017-09-05","90.7","2.7976","6.3486","Ryan McMahon",641857,621389,"strikeout","called_strike",,,,,2,"Ryan McMahon called out on strikes.  ","R","L","L","COL","SF","S",2,"null",2,2,2017,"1.1433","1.0177","-0.0288","3.6624","null","null","null",1,5,"Bot","null","null",,,457763,,"null","-9.0905","-131.4957","-2.8487","14.3576","22.4175","-20.5188","3.7383","1.7089","null","null","null","88.8860","2048","4.9310",492173,621389,457763,624507,605412,467055,543063,491676,452655,452254,"55.5690","null","null","0.00",1,0,0,"null",41,"6","Sinker",2,1,2,1,1,2,2,1,"Standard","Strategic"
"CU","2017-08-21","74.3","1.2427","6.5331","Shin-Soo Choo",425783,572140,"strikeout","called_strike",,,,,12,"Shin-Soo Choo called out on strikes.  ","R","L","L","LAA","TEX","S",2,"null",2,2,2017,"-0.7757","-1.2544","0.6417","3.6393","null","null","null",0,5,"Top","null","null",,,455117,,"null","0.1015","-107.8290","3.5348","-5.9463","21.0430","-42.7078","3.1276","1.5336","null","null","null","73.3750","2701","6.0170",491965,572140,455117,543068,592230,527043,592743,457727,545361,594777,"54.4827","null","null","0.00",1,0,0,"null",36,"5","Curveball",1,5,5,1,5,1,5,1,"Standard","Standard"
