"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FT","2015-06-28","93.1","-1.1100","5.7950","Chris Parmelee",476633,545333,"strikeout","called_strike",,,,,11,"Chris Parmelee called out on strikes.  ","R","L","R","BAL","CLE","S",2,"null",1,2,2015,"-1.4047666666666667","1.2993666666666667","-0.1360","3.7450","null","null","null",2,4,"Bot","null","null",,,543228,,"150628_144029","4.8220","-135.5390","-2.5190","-16.8870","32.2220","-17.9630","3.4200","1.6400","null","null","null","93.2040","2268","6.3220",414787,545333,543228,467793,543401,570482,596019,488726,456422,461815,"54.1788","null","null","0.00",1,0,0,"null",29,"4","2-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Standard"
"SI","2015-07-26","89.0","1.0309","6.1138","Lucas Duda",446263,434442,"strikeout","called_strike",,,,,1,"Lucas Duda called out on strikes.  ","R","L","L","NYM","LAD","S",2,"null",3,2,2015,"1.1642500000000000","0.09536666666666666667","-0.5950","3.7170","null","null","null",2,8,"Bot","null","null",,,518735,,"150726_153709","-6.6790","-129.4110","0.2390","15.6420","29.1030","-33.3250","3.9500","1.7800","null","null","null","87.0510","2010","5.5270",415120,434442,518735,408236,435062,457759,276519,444843,592626,624577,"54.9726","null","null","0.00",1,0,0,"null",60,"8","Sinker",2,0,2,0,0,2,2,0,"Infield shift","Standard"
"SL","2015-05-08","94.5","0.2082","5.5867","Matt Holliday",407812,434538,"strikeout","called_strike",,,,,1,"Matt Holliday called out on strikes.  ","R","R","L","PIT","STL","S",2,"null",2,2,2015,"-1.03514000000000000000","0.69808333333333333333","-0.8280","3.7170","null","null","null",2,1,"Top","null","null",,,465041,,"141001_203255","3.4340","-137.5450","0.0620","-12.4080","31.6730","-25.4700","3.7200","1.7300","null","null","null","85.3950","1035","5.8540",414092,434538,465041,476883,435522,543281,474568,516782,457705,570256,"54.6478","null","null","0.00",1,0,0,"null",3,"5","Slider",0,0,0,0,0,0,0,0,"Standard","Standard"
"FT","2015-05-14","94.2","-1.1311","5.5056","Yadier Molina",425877,545333,"strikeout","called_strike",,,,,12,"Yadier Molina called out on strikes.  ","R","R","R","CLE","STL","S",2,"null",3,2,2015,"-1.13756666666666666667","1.10730000000000000000","0.4800","3.6900",448602,"null","null",2,4,"Top","null","null",,,547379,,"150514_131950","6.0500","-137.0200","-1.4500","-13.9600","26.3500","-19.8900","3.5500","1.7000","null","null","null","94.9780","2247","6.3450",414172,545333,547379,467793,543401,502082,608070,488726,456422,461235,"54.1226","null","null","0.00",1,0,0,"null",29,"6","2-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Strategic"
"SL","2015-08-12","89.1","null","null","Adrian Gonzalez",408236,519455,"strikeout","called_strike",,,,,1,"Adrian Gonzalez called out on strikes.  ","R","L","R","LAD","WSH","S",2,"null",3,2,2015,"0.32507500000000000000","0.29030000000000000000","-0.3980","3.6560","null","null","null",2,1,"Bot","null","null",,,"null",,"150812_192357","1.7450","-129.7670","0.0020","5.6510","23.6410","-31.0170","3.6200","1.8700","null","null","null","null","null","null",415358,519455,"null","null","null","null","null","null","null","null","null","null","null","0.00",1,0,0,"null",6,"6","Slider",0,0,0,0,0,0,0,0,"null","null"
"FT","2015-10-04","94.5","-2.1404","5.9788","Nick Markakis",455976,407793,"strikeout","called_strike",,,,,2,"Nick Markakis called out on strikes.  ","R","L","R","ATL","STL","S",2,"null",1,2,2015,"-1.4687833333333333","0.06383333333333333333","-0.1890","3.6560","null","null","null",2,3,"Bot","null","null",,,488810,,"151004_135821","8.5970","-137.2350","0.5490","-18.3680","29.9000","-33.9120","3.7800","1.8500","null","null","null","94.7050","2154","6.6240",416077,407793,488810,461235,543939,572761,425509,407812,518792,572039,"53.8779","null","null","0.00",1,0,0,"null",23,"5","2-Seam Fastball",2,0,2,0,0,2,2,0,"Standard","Strategic"
"FT","2015-09-30","87.3","-2.5736","5.9229","Jon Lester",452657,459967,"strikeout","called_strike",,,,,1,"Jon Lester called out on strikes.  ","R","L","R","CIN","CHC","S",2,"null",2,2,2015,"-1.2419416666666667","1.20620000000000000000","-0.5370","3.6490","null",608365,"null",2,6,"Top","null","null",,,430910,,"150930_205217","7.7490","-126.8870","-1.3580","-13.0800","25.1030","-20.6170","3.7900","1.6800","null","null","null","88.6600","1936","7.2350",416009,459967,430910,594807,408252,474443,553993,430652,534627,457803,"53.2632","null","null","0.00",1,0,0,"null",45,"5","2-Seam Fastball",1,5,5,1,5,1,5,1,"Standard","Strategic"
"FF","2015-07-03","95.8","-0.8118","6.0923","Mike Trout",545361,491703,"strikeout","called_strike",,,,,3,"Mike Trout called out on strikes.  ","R","R","R","TEX","LAA","S",2,"null",3,2,2015,"-0.70475833333333333333","1.3681666666666667","0.3100","3.6170","null","null",542208,2,7,"Top","null","null",,,455139,,"150703_213723","4.3110","-139.4440","-3.4660","-8.1800","29.6150","-15.9570","3.5500","1.6500","null","null","null","95.2970","2482","5.8590",414847,491703,455139,489267,596059,134181,593643,285078,547982,425783,"54.6386","null","null","0.00",1,0,0,"null",63,"6","4-Seam Fastball",1,8,8,1,8,1,8,1,"Standard","Standard"
"FT","2015-06-07","96.2","1.9305","6.0504","Seth Smith",452234,459429,"strikeout","called_strike",,,,,11,"Seth Smith called out on strikes.  ","R","L","L","SEA","TB","S",2,"null",3,2,2015,"0.9638500000000000","1.09010000000000000000","-0.0330","3.6080","null","null","null",2,8,"Bot","null","null",,,425784,,"150607_153218","-7.4730","-139.9040","-2.7550","15.1760","39.1050","-20.1170","3.4800","1.7000","null","null","null","94.3490","2330","5.8980",414504,459429,425784,545338,523253,518653,452678,543484,595281,519306,"54.5993","null","null","0.00",1,0,0,"null",60,"6","2-Seam Fastball",1,3,1,3,3,1,1,3,"Infield shift","Standard"
"FF","2015-09-23","91.4","0.2864","6.1140","Brayan Pena",430910,462515,"strikeout","called_strike",,,,,12,"Brayan Pena called out on strikes.  ","R","L","R","STL","CIN","S",2,"null",1,2,2015,"-1.3741500000000000","1.3767666666666667","0.6190","3.5970","null","null","null",2,8,"Top","null","null",,,502023,,"150923_214512","3.3320","-133.1490","-2.6070","-15.9750","29.8070","-17.4330","3.2100","1.5100","null","null","null","90.9470","2015","5.7910",415919,462515,502023,461235,594824,448602,518902,572039,488721,445055,"54.7100","null","null","0.00",1,0,0,"null",62,"4","4-Seam Fastball",10,1,1,10,1,10,1,10,"Standard","Strategic"
