"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-05-21","74.7","1.9114","5.9842","Nick Williams",608384,592145,"strikeout","called_strike",,,,,12,"Nick Williams called out on strikes.  ","R","L","L","PHI","ATL","S",2,"null",3,2,2018,"-1.1765","-1.1991","0.5274","3.9264","null",467793,"null",2,8,"Bot","null","null",,,435559,,"180522_013318","-0.8063","-108.4425","5.0920","-8.8692","21.4216","-42.6542","3.3286","1.6891","null","null","null","73.5230","2566","5.8360",530108,592145,435559,518692,645277,622666,621020,660670,542255,455976,"54.6663","null","null","0.00",1,0,0,"null",64,"6","Curveball",3,0,3,0,0,3,3,0,"Standard","Standard"
"FF","2018-09-01","94.0","-3.3404","5.4340","Nomar Mazara",608577,621244,"strikeout","called_strike",,,,,12,"Nomar Mazara called out on strikes.  ","R","L","R","TEX","MIN","S",2,"null",1,2,2018,"-1.0430","1.1274","0.0893","3.6937","null","null","null",2,3,"Bot","null","null",,,641598,,"180902_010751","11.1106","-136.4010","-1.2520","-15.3049","28.8651","-18.1242","3.5273","1.6184","null","null","null","93.6110","2212","6.1290",531441,621244,641598,408045,523253,593934,593871,543257,595909,596146,"54.3694","null","null","0.00",1,0,0,"null",25,"4","4-Seam Fastball",4,2,4,2,2,4,4,2,"Infield shift","Strategic"
"SL","2018-08-29","84.4","-2.8627","6.1009","Trea Turner",607208,472610,"strikeout","called_strike",,,,,11,"Trea Turner called out on strikes.  ","R","R","R","PHI","WSH","S",2,"null",2,2,2018,"0.6382","-0.1203","-0.6971","3.6938","null",594809,"null",2,4,"Top","null","null",,,467092,,"180830_002440","3.7622","-122.8449","0.9503","5.6533","23.1059","-33.7823","3.5113","1.7062","null","null","null","83.8440","2390","5.7990",531407,472610,467092,467793,514917,596748,664068,656555,596451,430832,"54.7033","null","null","0.00",1,0,0,"null",33,"5","Slider",2,4,4,2,4,2,4,2,"Standard","Standard"
"FT","2018-05-08","91.6","-1.9420","5.0273","Brandon Belt",474832,605400,"strikeout","called_strike",,,,,12,"Brandon Belt called out on strikes.  ","R","L","R","PHI","SF","S",2,"null",2,2,2018,"-1.3175","0.4928","0.1556","3.6410","null","null","null",2,6,"Top","null","null",,,595751,,"180509_005632","8.2692","-133.2947","1.2487","-17.6850","26.0031","-26.5788","3.2467","1.5269","null","null","null","92.8380","2028","6.8210",529945,605400,595751,467793,514917,596748,664068,656555,546318,571437,"53.6821","null","null","0.00",1,0,0,"null",45,"6","2-Seam Fastball",3,1,1,3,1,3,1,3,"Infield shift","Standard"
"FC","2018-04-08","91.3","-1.6286","6.1752","Brandon Belt",474832,445276,"strikeout","called_strike",,,,,11,"Brandon Belt called out on strikes.  ","R","L","R","SF","LAD","S",2,"null",2,2,2018,"0.6610","1.0955","-0.4295","3.6295","null",452254,"null",2,10,"Bot","null","null",,,518735,,"180408_230915","1.5867","-133.1445","-3.0060","7.7010","28.1275","-18.4005","3.2558","1.5712","null","null","null","92.6740","2604","6.9510",529539,445276,518735,641355,400284,523253,608369,592626,621035,624577,"53.5464","null","null","0.00",1,0,0,"null",77,"6","Cutter",1,2,1,2,2,1,1,2,"Strategic","Standard"
"SL","2018-06-30","84.7","1.9866","5.9761","George Springer",543807,573064,"strikeout","called_strike",,,,,1,"George Springer called out on strikes.  ","R","R","L","TB","HOU","S",2,"null",1,2,2018,"-0.9337","0.4483","-0.5404","3.6221","null","null","null",2,3,"Top","null","null",,,467092,,"180630_205958","-4.0320","-123.1932","-0.0372","-8.3887","23.7015","-28.0311","3.6534","1.6364","null","null","null","83.1570","2494","5.2180",530644,573064,467092,543068,621002,622110,588751,621563,595281,460576,"55.2795","null","null","0.00",1,0,0,"null",24,"4","Slider",5,0,0,5,0,5,0,5,"Infield shift","Standard"
"FF","2018-04-11","90.8","-0.9281","5.4886","Ryan McMahon",641857,664208,"strikeout","called_strike",,,,,1,"Ryan McMahon called out on strikes.  ","R","L","R","COL","SD","S",2,"null",0,2,2018,"0.1822","0.6228","-0.3571","3.6149","null","null","null",2,7,"Bot","null","null",,,595978,,"180411_214507","1.0441","-132.4929","-0.2308","1.9864","23.2988","-24.8969","3.8644","1.8474","null","null","null","91.7150","2771","6.2990",529585,664208,595978,543333,641319,452104,520471,517369,614173,592669,"54.2029","null","null","0.00",1,0,0,"null",62,"3","4-Seam Fastball",6,3,6,3,3,6,6,3,"Standard","Standard"
"FF","2018-09-29","93.0","3.1912","6.1416","Matt Carpenter",572761,430935,"strikeout","called_strike",,,,,2,"Matt Carpenter called out on strikes.  ","R","L","L","CHC","STL","S",2,"null",0,2,2018,"0.5480","1.2655","0.2098","3.6079","null","null","null",2,7,"Top","null","null",,,605170,,"180929_185631","-8.8722","-135.2300","-3.5154","8.6512","28.8006","-16.0136","3.6685","1.8435","null","null","null","93.3270","2028","6.4680",531819,430935,605170,519203,502517,592178,595879,664023,518792,450314,"54.0287","null","null","0.00",1,0,0,"null",50,"4","4-Seam Fastball",1,2,2,1,2,1,2,1,"Standard","Standard"
"CU","2018-08-18","78.2","-1.9449","6.5706","Jesus Aguilar",542583,571945,"strikeout","called_strike",,,,,2,"Jesus Aguilar called out on strikes.  ","R","R","R","STL","MIL","S",2,"null",1,2,2018,"0.7545","-1.1862","-0.2502","3.5943","null","null",456715,2,1,"Top","null","null",,,425877,,"180818_232636","2.2681","-113.7611","2.5988","6.0552","20.9062","-43.0601","3.7842","1.8044","null","null","null","77.7810","2496","6.0100",531259,571945,425877,572761,543939,576397,657557,542303,664056,641933,"54.4880","null","null","0.00",1,0,0,"null",4,"6","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2018-08-01","93.3","-2.2445","6.4309","Brett Phillips",621433,592229,"strikeout","called_strike",,,,,11,"Brett Phillips called out on strikes.  ","R","L","R","CWS","KC","S",2,"null",0,2,2018,"0.1956","1.0520","-0.5797","3.5933","null","null","null",2,2,"Top","null","null",,,607345,,"180802_002817","3.8249","-135.8064","-3.7979","1.5782","28.4652","-18.8120","3.4578","1.7348","null","null","null","92.6310","2157","5.7780",531031,592229,607345,547989,660162,570560,641313,547170,544725,541645,"54.7217","null","null","0.00",1,0,0,"null",11,"3","Cutter",1,0,0,1,0,1,0,1,"Infield shift","Standard"
