"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2017-05-29","95.7","-1.4378","6.5778","Jose Abreu",547989,598264,"strikeout","called_strike",,,,,11,"Jose Abreu called out on strikes.  ","R","R","R","CWS","BOS","S",2,"null",1,2,2017,"-0.8008","1.7045","-0.4465","3.8318","null",466320,"null",2,7,"Bot","null","null",,,543877,,"170529_205932","4.4423","-138.9259","-5.4674","-11.4661","32.4542","-8.9099","3.5600","1.6000","null","null","null","95.8680","2113","6.6030",490861,598264,543877,519048,592710,571918,593428,455759,598265,605141,"53.8956","null","null","0.00",1,0,0,"null",60,"4","4-Seam Fastball",5,4,5,4,4,5,5,4,"Standard","Standard"
"FF","2017-05-28","99.9","0.2428","6.7036","Franchy Cordero",614173,544836,"strikeout","called_strike",,,,,11,"Franchy Cordero called out on strikes.  ","R","L","L","WSH","SD","S",2,"null",2,2,2017,"0.8003","1.9356","-0.8753","3.7863",592669,"null","null",2,9,"Top","null","null",,,446653,,"170528_220507","-4.8673","-144.9045","-7.0241","12.2333","33.1591","-3.9062","3.6100","1.6700","null","null","null","98.9880","2235","5.9010",490854,544836,446653,475582,594694,543685,607208,452252,572191,571718,"54.5957","null","null","0.00",1,0,0,"null",78,"5","4-Seam Fastball",3,5,5,3,5,3,5,3,"Standard","Standard"
"KN","2017-04-29","78.7","-0.8553","5.7773","Ben Zobrist",450314,453214,"strikeout","called_strike",,,,,12,"Ben Zobrist called out on strikes.  ","R","L","R","BOS","CHC","S",2,"null",3,2,2017,"0.3724","-0.2936","0.2638","3.7774",592178,"null","null",2,1,"Top","null","null",,,543877,,"170429_201340","1.7376","-114.2967","3.0219","2.8902","21.5796","-35.5203","3.5800","1.6700","null","null","null","78.0660","null","5.9980",490447,453214,543877,519048,456030,593523,593428,643217,598265,605141,"54.5021","null","null","0.00",1,0,0,"null",4,"8","Knuckle Ball",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FT","2017-06-04","91.9","-2.4140","5.7949","JT Riddle",595375,640463,"strikeout","called_strike",,,,,11,"J.  T.   Riddle called out on strikes.  ","R","L","R","MIA","ARI","S",2,"null",1,2,2017,"-1.3290","1.1777","-0.3846","3.7490",592885,489138,454560,2,5,"Bot","null","null",,,455104,,"170604_191725","7.8444","-133.2760","-1.7752","-17.2345","28.7069","-18.2589","3.4777","1.7018","null","null","null","90.8100","2019","5.8110",490942,640463,455104,502671,518614,571875,605113,543302,571681,572008,"54.6872","null","null","0.00",1,0,0,"null",53,"4","2-Seam Fastball",5,5,5,5,5,5,5,5,"Standard","Standard"
"SI","2017-08-15","93.8","-0.9625","6.2455","Mike Trout",545361,445213,"strikeout","called_strike",,,,,12,"Mike Trout called out on strikes.  ","R","R","R","WSH","LAA","S",2,"null",1,2,2017,"-1.1754","1.2271","0.1850","3.7441","null","null","null",2,8,"Top","null","null",,,446308,,"null","5.6073","-136.3690","-3.4932","-16.0453","29.4663","-16.1290","3.4901","1.6390","null","null","null","94.3960","1955","6.6380",491881,445213,446308,475582,502517,543685,594694,435062,572191,664057,"53.8593","null","null","0.00",1,0,0,"null",60,"4","Sinker",3,1,1,3,1,3,1,3,"Standard","Standard"
"FF","2017-04-12","94.8","-1.5558","6.3640","Jorge Polanco",593871,605242,"strikeout","called_strike",,,,,11,"Jorge Polanco called out on strikes.  ","R","L","R","DET","MIN","S",2,"null",0,2,2017,"-0.7563","1.3841","-0.6209","3.7266",593934,"null",408045,2,3,"Top","null","null",,,543510,,"170412_181329","4.1622","-137.6869","-4.3281","-10.6521","31.4453","-13.6360","3.3700","1.6000","null","null","null","95.1540","2232","6.6530",490223,605242,543510,408234,435079,592206,578428,457708,461865,607385,"53.8459","null","null","0.00",1,0,0,"null",21,"7","4-Seam Fastball",0,3,3,0,3,0,3,0,"Standard","Standard"
"FF","2017-09-12","92.5","0.9125","5.2904","Jabari Blash",518466,622382,"strikeout","called_strike",,,,,3,"Jabari Blash called out on strikes.  ","R","R","L","MIN","SD","S",2,"null",0,2,2017,"0.7420","1.7702","0.4178","3.7277","null",571976,"null",2,9,"Top","null","null",,,641598,,"null","-2.8717","-134.4420","-2.0400","9.6346","27.7681","-10.3832","3.8370","1.8189","null","null","null","92.7490","1989","6.3860",492267,622382,641598,573627,592348,500871,501303,460269,643335,592696,"54.1116","null","null","0.00",1,0,0,"null",77,"3","4-Seam Fastball",16,0,0,16,0,16,0,16,"Infield shift","Standard"
"FF","2017-09-06","94.6","-1.2334","6.1567","Greg Garcia",594824,659275,"strikeout","called_strike",,,,,12,"Greg Garcia called out on strikes.  ","R","L","R","SD","STL","S",2,"null",3,2,2017,"-1.1760","1.8674","0.2247","3.6910","null","null",500874,2,4,"Top","null","null",,,516949,,"null","6.2543","-136.9856","-4.6376","-15.9190","33.1530","-8.4444","3.4110","1.6767","null","null","null","92.8970","2504","5.7560",492189,659275,516949,571976,641319,500208,430947,517369,519333,518466,"54.7428","null","null","0.00",1,0,0,"null",27,"6","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2017-08-04","85.8","-1.1644","6.1283","Joey Rickard",572073,541652,"strikeout","called_strike",,,,,2,"Joey Rickard called out on strikes.  ","R","R","R","BAL","DET","S",2,"null",3,2,2017,"-0.1049","-0.0154","-0.2246","3.6913","null","null","null",2,9,"Bot","null","null",,,543308,,"null","2.3966","-124.5869","0.5480","-1.5641","25.9376","-32.7005","3.7920","1.3272","null","null","null","84.6120","2228","5.7070",491726,541652,543308,408234,435079,461865,578428,457708,543484,451192,"54.7937","null","null","0.00",1,0,0,"null",68,"7","Slider",2,5,2,5,5,2,2,5,"Standard","Standard"
"FF","2017-09-22","86.8","-0.7675","6.5209","Trevor Story",596115,657681,"strikeout","called_strike",,,,,1,"Trevor Story called out on strikes.  ","R","R","L","SD","COL","S",2,"null",1,2,2017,"-0.4133","1.7692","-0.4844","3.6807","null",471865,571448,2,8,"Top","null","null",,,595978,,"null","1.5059","-126.1223","-4.1552","-4.6899","25.8229","-12.7931","3.7659","1.5072","null","null","null","86.4760","2079","6.1670",492392,657681,595978,571976,641319,500208,430947,605486,622534,608671,"54.3314","null","null","0.00",1,0,0,"null",61,"4","4-Seam Fastball",1,4,4,1,4,1,4,1,"Standard","Standard"
