"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"CU","2018-04-25","81.2","-1.7722","6.0486","Starling Marte",516782,599683,"strikeout","swinging_strike_blocked",,,,,14,"Starling Marte strikes out swinging, catcher James McCann to first baseman Miguel Cabrera.  ","R","R","R","PIT","DET","S",2,"null",2,2,2018,"-0.0744","-1.3709","0.5357","-1.4502","null","null",570256,2,4,"Bot","null","null",,,543510,,"180425_214807","5.2255","-117.7463","-7.3049","-1.8774","27.3263","-43.0362","3.3728","1.3830","null","null","null","79.3070","2703","5.6780",529764,599683,543510,408234,592348,600869,578428,592444,547982,592206,"54.8210","null","null","0.00",1,0,0,"null",45,"5","Curveball",6,8,6,8,8,6,6,8,"Standard","Standard"
"CU","2018-07-15","73.2","0.8954","6.3903","Deck McGuire",592547,477132,"strikeout","swinging_strike_blocked",,,,,13,"Deck McGuire strikes out swinging.  ","R","R","L","LAD","LAA","S",2,"null",0,2,2018,"-0.1461","-1.3488","-1.0126","-1.0716","null","null","null",2,2,"Top","null","null",,,518735,,"180715_204353","-3.5818","-106.3554","-5.2958","-0.4197","19.9382","-41.5063","3.8859","1.5210","null","null","null","72.5700","2533","6.1060",530846,477132,518735,641355,571771,571970,621035,592626,592808,461314,"54.3932","null","null","0.00",1,0,0,"null",12,"3","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"SL","2018-06-16","83.1","2.4164","6.1080","Todd Frazier",453943,571578,"strikeout","swinging_strike_blocked",,,,,13,"Todd Frazier strikes out swinging, catcher John Ryan Murphy to first baseman Paul Goldschmidt.  ","R","R","L","ARI","NYM","S",2,"null",1,2,2018,"-0.0292","-0.0027","-1.2949","-0.9838","null","null","null",2,1,"Top","null","null",,,571974,,"180617_021535","-8.3786","-120.4111","-9.6222","1.4081","24.2763","-30.4956","3.2032","1.2744","null","null","null","82.3420","2379","6.1060",530459,571578,571974,502671,606466,571918,605113,444482,572008,445055,"54.3960","null","null","0.00",1,0,0,"null",3,"5","Slider",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"CU","2018-07-01","78.8","1.8419","5.6167","Odubel Herrera",546318,461829,"strikeout","swinging_strike_blocked",,,,,13,"Odubel Herrera strikes out swinging.  ","R","L","L","PHI","WSH","S",2,"null",1,2,2018,"-1.1148","-1.4132","-1.3262","-0.9161","null","null","null",2,1,"Bot","null","null",,,600474,,"180701_175317","-4.7950","-114.3997","-4.5910","-8.4833","24.8965","-43.5278","3.2533","1.4634","null","null","null","77.5800","2841","5.9660",530667,461829,600474,448602,502517,543685,607208,665742,547180,594809,"54.5370","null","null","0.00",1,0,0,"null",7,"5","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2018-08-22","79.1","-3.2472","5.9485","Justin Bour",571506,593833,"strikeout","swinging_strike_blocked",,,,,14,"Justin Bour strikes out swinging.  ","R","L","R","WSH","PHI","S",2,"null",0,2,2018,"0.5264","-1.0193","0.8514","-0.9101","null","null","null",2,5,"Top","null","null",,,446308,,"180823_010633","7.9122","-114.8117","-6.1607","3.0172","22.7677","-40.0774","3.6177","1.7744","null","null","null","78.3700","2637","6.0770",531313,593833,446308,475582,594694,543685,607208,665742,547180,594809,"54.4221","null","null","0.00",1,0,0,"null",46,"3","Curveball",5,5,5,5,5,5,5,5,"Strategic","Standard"
"KC","2018-04-22","86.0","-2.3108","6.0450","Javier Baez",595879,608566,"strikeout","swinging_strike_blocked",,,,,14,"Javier Baez strikes out swinging.  ","R","R","R","COL","CHC","S",2,"null",0,2,2018,"0.3426","-0.3845","0.1236","-0.8186",605170,518792,500779,2,3,"Top","null","null",,,455104,,"180422_201604","4.9869","-124.7923","-9.0855","2.5266","23.1913","-34.6173","3.3333","1.4754","null","null","null","84.2910","2737","5.1580",529722,608566,455104,435622,518934,571448,596115,621311,453568,571595,"55.3435","null","null","0.00",1,0,0,"null",28,"3","Knuckle Curve",0,6,6,0,6,0,6,0,"Standard","Standard"
"SL","2018-04-02","83.0","0.7362","6.1113","Tim Anderson",641313,448802,"strikeout","swinging_strike_blocked",,,,,13,"Tim Anderson strikes out swinging, catcher Russell Martin to first baseman Justin Smoak.  ","R","R","L","TOR","CWS","S",2,"null",3,2,2018,"-0.5281","0.2431","-1.9436","-0.8142","null","null","null",2,4,"Top","null","null",,,431145,,"180403_001407","-5.0602","-120.4575","-9.6827","-4.0313","23.9889","-28.1740","2.9419","1.1835","null","null","null","82.0130","2659","5.8310",529460,448802,431145,475253,581527,500208,649557,434158,607680,545341,"54.6696","null","null","0.00",1,0,0,"null",25,"7","Slider",0,1,1,0,1,0,1,0,"Standard","Standard"
"KC","2018-07-04","82.6","-1.0787","5.7329","Salvador Perez",521692,545333,"strikeout","swinging_strike_blocked",,,,,14,"Salvador Perez strikes out swinging.  ","R","R","R","KC","CLE","S",2,"null",1,2,2018,"0.8547","-1.5991","1.5041","-0.7765","null",460077,594011,2,5,"Bot","null","null",,,547379,,"180705_015025","4.1919","-119.8695","-5.0818","6.9884","26.6621","-46.1575","3.3638","1.3652","null","null","null","80.7640","2925","5.5310",530697,545333,547379,475174,543401,608070,596019,488726,656185,571980,"54.9688","null","null","0.00",1,0,0,"null",43,"4","Knuckle Curve",2,3,2,3,3,2,2,3,"Standard","Strategic"
"KC","2018-05-27","83.0","-1.1582","5.8115","Jake Marisnick",545350,545333,"strikeout","swinging_strike_blocked",,,,,14,"Jake Marisnick strikes out swinging.  ","R","R","R","CLE","HOU","S",2,"null",1,2,2018,"0.5894","-1.6057","1.8325","-0.6744","null","null","null",2,7,"Top","null","null",,,547379,,"180527_191445","5.6251","-120.4799","-5.0680","4.1715","28.2931","-46.2568","3.5584","1.4574","null","null","null","80.9690","2916","5.5220",530189,545333,547379,475174,543401,608070,596019,488726,656185,466320,"54.9775","null","null","0.00",1,0,0,"null",49,"4","Knuckle Curve",3,2,2,3,2,3,2,3,"Standard","Standard"
"KC","2018-06-23","81.3","-1.2726","5.9092","Jeimer Candelario",600869,545333,"strikeout","swinging_strike_blocked",,,,,14,"Jeimer Candelario strikes out swinging.  ","R","L","R","CLE","DET","S",2,"null",0,2,2018,"0.7348","-1.7249","1.1473","-0.6686","null","null",547982,2,2,"Top","null","null",,,547379,,"180623_225835","3.9858","-118.0254","-4.7470","5.7374","25.2204","-46.9215","3.6298","1.5690","null","null","null","79.4460","2845","5.4120",530546,545333,547379,429665,543401,570481,596019,488726,434658,446386,"55.0876","null","null","0.00",1,0,0,"null",19,"3","Knuckle Curve",3,1,1,3,1,3,1,3,"Standard","Standard"
